YEAR,RD,PICK,TEAM,PLAYER,POS,SCHOOL,TYPE,ST,SIGNED,BONUS
2023,1,1,Pittsburgh Pirates,Paul Skenes,RHP,LSU,4YR,LA,N,
2023,1,2,Washington Nationals,Dylan Crews,OF,LSU,4YR,LA,N,
2023,1,3,Detroit Tigers,Max Clark,OF,Franklin Community HS,HS,IN,N,
2023,1,4,Texas Rangers,Wyatt Langford,OF,Florida,4YR,FL,N,
2023,1,5,Minnesota Twins,Walker Jenkins,OF,South Brunswick HS,HS,NC,N,
2023,1,6,Oakland Athletics,Jacob Wilson,SS,Grand Canyon University,4YR,AZ,N,
2023,1,7,Cincinnati Reds,Rhett Lowder,RHP,Wake Forest,4YR,NC,N,
2023,1,8,Kansas City Royals,Blake Mitchell,C,Sinton HS,HS,TX,N,
2023,1,9,Colorado Rockies,Chase Dollander,RHP,Tennessee,4YR,TN,N,
2023,1,10,Miami Marlins,Noble Meyer,RHP,Jesuit HS,HS,OR,N,
2023,1,11,Los Angeles Angels,Nolan Schanuel,1B,Florida Atlantic,4YR,FL,N,
2023,1,12,Arizona Diamondbacks,Tommy Troy,SS,Stanford,4YR,CA,N,
2023,1,13,Chicago Cubs,Matt Shaw,SS,Maryland,4YR,MD,N,
2023,1,14,Boston Red Sox,Kyle Teel,C,Virginia,4YR,VA,N,
2023,1,15,Chicago White Sox,Jacob Gonzalez,SS,Ole Miss,4YR,MS,N,
2023,1,16,San Francisco Giants,Bryce Eldridge,TWP,James Madison HS,HS,VA,N,
2023,1,17,Baltimore Orioles,Enrique Bradfield,OF,Vanderbilt,4YR,TN,N,
2023,1,18,Milwaukee Brewers,Brock Wilken,3B,Wake Forest,4YR,NC,N,
2023,1,19,Tampa Bay Rays,Brayden Taylor,SS,TCU,4YR,TX,N,
2023,1,20,Toronto Blue Jays,Arjun Nimmala,SS,Strawberry Crest HS,HS,FL,N,
2023,1,21,St. Louis Cardinals,Chase Davis,OF,Arizona,4YR,AZ,N,
2023,1,22,Seattle Mariners,Colt Emerson,SS,John Glenn HS,HS,OH,N,
2023,1,23,Cleveland Guardians,Ralphy Velazquez,C,Huntington Beach HS,HS,CA,N,
2023,1,24,Atlanta Braves,Hurston Waldrep,RHP,Florida,4YR,FL,N,
2023,1,25,San Diego Padres,Dillon Head,OF,Homewood Flossmoor HS,HS,IL,N,
2023,1,26,New York Yankees,George Lombard,SS,Gulliver Prep School,HS,FL,N,
2023,1,27,Philadelphia Phillies,Aidan Miller,SS,J.W. Mitchell HS,HS,FL,N,
2023,1,28,Houston Astros,Brice Matthews,SS,Nebraska,4YR,NE,N,
2023,PPI,29,Seattle Mariners,Jonny Farmelo,OF,Westfield HS,HS,VA,N,
2023,1s,30,Seattle Mariners,Tai Peete,SS,Trinity Christian School,HS,GA,N,
2023,1s,31,Tampa Bay Rays,Adrian Santana,SS,Doral Academy,HS,FL,N,
2023,1,32,New York Mets,Colin Houck,SS,Parkview HS,HS,GA,N,
2023,1s,33,Milwaukee Brewers,Josh Knoth,RHP,Patchogue Medford HS,HS,NY,N,
2023,1s,34,Minnesota Twins,Charlee Soto,RHP,Reborn Christian Academy,HS,FL,N,
2023,1s,35,Miami Marlins,Thomas White,LHP,Phillips Academy,HS,MA,N,
2023,1,36,Los Angeles Dodgers,Kendall George,OF,Atascocita HS,HS,TX,N,
2023,1s,37,Detroit Tigers,Kevin McGonigle,SS,Monsignor Bonner HS,HS,PA,N,
2023,1s,38,Cincinnati Reds,Ty Floyd,RHP,LSU,4YR,LA,N,
2023,1s,39,Oakland Athletics,Myles Naylor,3B,St Joan Of Arc Catholic SS,HS,ON,N,
2023,2,40,Washington Nationals,Yohandy Morales,3B,Miami,4YR,FL,N,
2023,2,41,Oakland Athletics,Ryan Lasko,OF,Rutgers,4YR,NJ,N,
2023,2,42,Pittsburgh Pirates,Mitch Jebb,SS,Michigan State,4YR,MI,N,
2023,2,43,Cincinnati Reds,Sammy Stafura,SS,Walter Panas HS,HS,NY,N,
2023,2,44,Kansas City Royals,Blake Wolters,RHP,Mahomet-Seymour HS,HS,IL,N,
2023,2,45,Detroit Tigers,Max Anderson,2B,Nebraska,4YR,NE,N,
